ORIGIN,DEST
DTW,PHL
LAS,ATL
AUS,SLC
LAX,SLC
MCO,ATL
ATL,ORF
ORF,ATL
ATL,CHS
RDU,MSP
JFK,PHX
CVG,SLC
GRR,ATL
ATL,EWR
EWR,ATL
MSP,JFK
HNL,SEA
SEA,HNL
ATL,ABQ
SJU,JFK
OGG,LAX
ATL,BNA
IAD,SEA
SEA,IAD
ORD,LGA
CVG,ATL
ATL,PVD
PVD,ATL
ATL,LAS
ATL,FLL
FLL,ATL
DTW,MCO
ATL,TYS
ATL,PWM
DTW,LGA
DEN,ATL
MCI,ATL
PIT,MSP
ORD,SLC
SLC,DFW
JFK,ATL
ATL,DCA
DCA,ATL
ATL,SLC
ANC,SEA
MSP,CLE
BHM,ATL
DTW,SMF
LAX,DTW
ATL,RSW
SLC,IAD
ATL,CLT
CLT,ATL
SEA,SJC
SJC,SEA
MSP,SEA
MSP,MCO
ATL,SAN
ATL,MCI
SLC,LAS
SLC,BOS
SEA,DTW
DAY,ATL
LAX,JFK
SJC,SLC
ATL,MYR
MYR,ATL
MSP,BNA
MSY,ATL
DCA,DTW
ATL,DFW
DFW,ATL
LAX,ATL
PBI,ATL
ATL,SRQ
SRQ,ATL
SLC,LAX
ATL,DEN
MCO,LGA
ATL,LGA
JFK,MCO
MCO,JFK
LGA,TPA
TPA,LGA
ATL,IND
IND,ATL
JFK,MSP
TPA,ATL
ATL,HOU
MSP,RDU
IND,MSP
MSP,IND
JFK,TPA
JFK,SAN
SAN,JFK
LGA,MSP
ATL,ELP
LAS,JFK
SAN,SLC
SLC,SAN
MSP,LGA
ATL,JAX
JAX,ATL
LGA,ATL
ATL,BOS
MCO,DTW
ATL,TPA
SAT,ATL
ATL,DAY
ATL,SAV
IAH,ATL
ATL,STL
STL,ATL
DTW,AUS
LAX,SFO
SFO,LAX
OKC,ATL
FLL,JFK
ATL,SMF
ATL,IAH
MSP,LAX
ATL,CLE
JFK,FLL
SLC,ATL
SLC,DTW
MSP,PIT
RAP,MSP
ATL,SEA
BNA,MSP
MSP,ATL
MSP,BIL
ATL,VPS
VPS,ATL
BOS,MSP
MSP,SAN
DTW,TPA
TPA,DTW
BNA,ATL
JFK,LAX
MSP,RAP
ATL,JFK
RDU,ATL
ALB,ATL
ORD,SEA
SEA,ORD
SLC,JFK
AUS,JFK
JFK,AUS
CHS,ATL
EYW,ATL
LGA,PBI
PBI,LGA
MSP,ORD
ORD,MSP
ATL,RIC
MSP,STL
STL,MSP
ATL,SAT
HOU,ATL
ATL,PNS
PNS,ATL
ATL,GSP
GSP,ATL
SLC,CMH
CVG,DEN
DEN,CVG
JFK,LAS
ATL,MIA
MIA,ATL
ANC,MSP
MSP,ANC
JAC,SLC
SLC,JAC
DTW,SEA
SEA,PDX
MCO,BOS
ATL,SFO
SDF,ATL
ATL,BHM
JAC,MSP
MIA,JFK
ATL,DAB
DAB,ATL
LAX,SEA
ATL,MOB
LGA,FLL
ATL,PHL
MCO,LAX
MSP,AUS
RIC,ATL
SFO,SLC
MSP,SLC
JFK,SLC
DAL,ATL
DTW,MSY
MSY,DTW
LAS,SEA
SEA,LAS
SLC,SFO
AUS,DTW
CMH,ATL
CMH,MSP
PHX,SEA
SEA,PHX
DTW,DFW
ATL,MCO
SEA,SFO
SFO,SEA
ECP,ATL
ATL,ECP
RDU,FLL
ATL,MSY
LAX,BNA
PHX,JFK
DTW,BOS
SEA,MSP
ATL,MEM
MEM,ATL
IAH,SLC
SMF,MSP
ATL,DAL
ATL,PBI
DTW,MKE
SNA,ATL
ATL,BDL
BDL,ATL
ICT,ATL
DEN,MSP
ATL,ICT
TPA,JFK
PSC,SLC
ATL,CHA
CHA,ATL
ATL,SNA
SLC,IAH
ATL,BUF
MSP,DEN
ATL,MDT
MDT,ATL
ATL,OKC
LGA,ORD
BOS,SFO
SFO,BOS
DEN,JFK
ATL,SDF
MSP,BOI
BOS,LAS
LAS,BOS
CLE,MSP
CHS,JFK
JFK,CHS
SLC,MSP
ATL,RDU
JFK,SEA
SLC,DEN
SAV,ATL
SLC,SNA
BZN,SLC
SLC,BZN
MCI,SLC
BIL,SLC
SLC,BIL
SLC,MCI
DEN,DTW
DTW,FLL
LAX,RDU
SEA,LAX
ATL,BWI
BWI,ATL
CLE,ATL
BOS,LAX
ATL,XNA
SEA,ATL
DTW,MIA
MIA,DTW
CLT,JFK
JFK,CLT
ALB,DTW
MKE,ATL
ATL,DSM
DSM,ATL
FCA,SLC
DFW,LGA
GSO,ATL
FCA,MSP
MSP,FCA
MSP,BOS
BOS,ATL
ATL,DTW
ELP,ATL
ATL,PHX
SLC,SMF
MCI,MSP
CVG,BOS
JFK,SJU
ATL,MDW
MDW,ATL
LAX,AUS
PVD,DTW
IAD,ATL
JFK,MIA
FNT,ATL
PWM,ATL
LAX,MSY
ORD,DTW
MSP,DTW
SLC,MCO
HPN,ATL
LAS,MSP
SLC,CLE
MSP,LAS
SLC,CVG
ATL,PDX
ATL,MSN
MSN,ATL
JFK,PDX
JFK,DCA
MCO,SLC
ATL,CVG
SAN,DTW
LAX,DEN
JAN,ATL
PDX,ATL
SEA,BOS
SEA,MCO
BNA,DTW
DTW,BNA
JFK,BOS
BUF,ATL
IAD,SLC
MSP,SMF
DEN,SEA
DTW,PHX
BOS,DTW
ATL,JAN
JFK,SFO
MSP,SNA
MCO,RDU
BIS,MSP
DEN,LAX
DTW,DEN
SLC,FCA
SLC,IND
BOS,CVG
SEA,DEN
ATL,LAX
ATL,MSP
IND,SLC
ATL,TRI
SLC,SEA
RSW,ATL
MSP,MEM
